# CenterPoint fine-tuned 54m on V2V4Real (tesla) - Polar binned error distributions (angle+distance)
# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
distal,5.0,10.0,-160.0,-150.0,normal,0.0,0.121726,0.128798
perpendicular,5.0,10.0,-160.0,-150.0,normal,0.0,0.059503,0.070281
height,5.0,10.0,-160.0,-150.0,normal,0.0,0.054949,0.054247
yaw,5.0,10.0,-160.0,-150.0,normal,0.0,0.019792,0.026686
width,5.0,10.0,-160.0,-150.0,normal,0.0,0.290699,0.33285
length,5.0,10.0,-160.0,-150.0,normal,0.0,0.09427,0.122758
box_height,5.0,10.0,-160.0,-150.0,normal,0.0,0.075786,0.0988
miss_detection,5.0,10.0,-150.0,-140.0,constant,0.013514,,
distal,5.0,10.0,-150.0,-140.0,normal,0.0,0.111463,0.121774
perpendicular,5.0,10.0,-150.0,-140.0,normal,0.0,0.064019,0.07201
height,5.0,10.0,-150.0,-140.0,normal,0.0,0.056249,0.052247
yaw,5.0,10.0,-150.0,-140.0,normal,0.0,0.052187,0.03219
width,5.0,10.0,-150.0,-140.0,normal,0.0,0.258834,0.292007
length,5.0,10.0,-150.0,-140.0,normal,0.0,0.097679,0.134382
box_height,5.0,10.0,-150.0,-140.0,normal,0.0,0.083089,0.089922
miss_detection,5.0,10.0,-140.0,-130.0,constant,0.0,,
distal,5.0,10.0,-140.0,-130.0,normal,0.0,0.076433,0.076768
perpendicular,5.0,10.0,-140.0,-130.0,normal,0.0,0.066398,0.061056
height,5.0,10.0,-140.0,-130.0,normal,0.0,0.040164,0.04567
yaw,5.0,10.0,-140.0,-130.0,normal,0.0,0.077798,0.047596
width,5.0,10.0,-140.0,-130.0,normal,0.0,0.230135,0.20335
length,5.0,10.0,-140.0,-130.0,normal,0.0,0.118267,0.192369
box_height,5.0,10.0,-140.0,-130.0,normal,0.0,0.075277,0.075187
miss_detection,5.0,10.0,-130.0,-120.0,constant,0.011905,,
distal,5.0,10.0,-130.0,-120.0,normal,0.0,0.05193,0.059645
perpendicular,5.0,10.0,-130.0,-120.0,normal,0.0,0.068134,0.101041
height,5.0,10.0,-130.0,-120.0,normal,0.0,0.034866,0.045281
yaw,5.0,10.0,-130.0,-120.0,normal,0.0,0.057236,0.040993
width,5.0,10.0,-130.0,-120.0,normal,0.0,0.122365,0.133402
length,5.0,10.0,-130.0,-120.0,normal,0.0,0.074583,0.112475
box_height,5.0,10.0,-130.0,-120.0,normal,0.0,0.069557,0.10519
miss_detection,5.0,10.0,-120.0,-110.0,constant,0.025641,,
distal,5.0,10.0,-120.0,-110.0,normal,0.0,0.03949,0.061075
perpendicular,5.0,10.0,-120.0,-110.0,normal,0.0,0.056952,0.100303
height,5.0,10.0,-120.0,-110.0,normal,0.0,0.043051,0.054538
yaw,5.0,10.0,-120.0,-110.0,normal,0.0,0.017712,0.02512
width,5.0,10.0,-120.0,-110.0,normal,0.0,0.124398,0.135169
length,5.0,10.0,-120.0,-110.0,normal,0.0,0.051883,0.071136
box_height,5.0,10.0,-120.0,-110.0,normal,0.0,0.068168,0.090878
miss_detection,5.0,10.0,-110.0,-100.0,constant,0.074074,,
distal,5.0,10.0,-110.0,-100.0,normal,0.0,0.051128,0.077602
perpendicular,5.0,10.0,-110.0,-100.0,normal,0.0,0.097894,0.112873
height,5.0,10.0,-110.0,-100.0,normal,0.0,0.039912,0.059807
yaw,5.0,10.0,-110.0,-100.0,normal,0.0,0.048652,0.049156
width,5.0,10.0,-110.0,-100.0,normal,0.0,0.155636,0.179607
length,5.0,10.0,-110.0,-100.0,normal,0.0,0.155326,0.142919
box_height,5.0,10.0,-110.0,-100.0,normal,0.0,0.099999,0.13928
